example_id,producto_id,retailer_id,categoria_id,product_country,synthetic,precio_usd_final,precio_median_group,imputation_source,decision,is_price_imputed_model
1746,502,1,22,UNKNOWN,True,1.0,,original_clean,keep,False
1747,502,1,22,UNKNOWN,True,1.0,,original_clean,keep,False
1748,502,1,22,UNKNOWN,True,1.0,,original_clean,keep,False
1749,502,1,22,UNKNOWN,True,1.0,,original_clean,keep,False
1750,505,2,15,MX,True,3.8668,,original_clean,keep,False
1751,505,2,15,MX,True,3.8668,,original_clean,keep,False
1752,505,2,15,MX,True,3.8668,,original_clean,keep,False
1753,505,2,15,MX,True,3.8668,,original_clean,keep,False
1754,508,1,22,UNKNOWN,True,5.8,,original_clean,keep,False
1755,508,1,22,UNKNOWN,True,5.8,,original_clean,keep,False
1756,508,1,22,UNKNOWN,True,5.8,,original_clean,keep,False
1757,508,1,22,UNKNOWN,True,5.8,,original_clean,keep,False
1758,510,1,15,UNKNOWN,True,1.89,,original_clean,keep,False
1759,510,1,15,UNKNOWN,True,1.89,,original_clean,keep,False
1760,510,1,15,UNKNOWN,True,1.89,,original_clean,keep,False
1761,510,1,15,UNKNOWN,True,1.89,,original_clean,keep,False
1762,511,1,15,UNKNOWN,True,1.54,,original_clean,keep,False
1763,511,1,15,UNKNOWN,True,1.54,,original_clean,keep,False
1764,511,1,15,UNKNOWN,True,1.54,,original_clean,keep,False
1765,511,1,15,UNKNOWN,True,1.54,,original_clean,keep,False
1766,512,1,15,UNKNOWN,True,1.99,,original_clean,keep,False
1767,512,1,15,UNKNOWN,True,1.99,,original_clean,keep,False
1768,512,1,15,UNKNOWN,True,1.99,,original_clean,keep,False
1769,512,1,15,UNKNOWN,True,1.99,,original_clean,keep,False
1770,513,1,13,UNKNOWN,True,2.62,,original_clean,keep,False
1771,513,1,13,UNKNOWN,True,2.62,,original_clean,keep,False
1772,513,1,13,UNKNOWN,True,2.62,,original_clean,keep,False
1773,513,1,13,UNKNOWN,True,2.62,,original_clean,keep,False
1774,518,1,10,UNKNOWN,True,10.45,,original_clean,keep,False
1775,518,1,10,UNKNOWN,True,10.45,,original_clean,keep,False
1776,518,1,10,UNKNOWN,True,10.45,,original_clean,keep,False
1777,518,1,10,UNKNOWN,True,10.45,,original_clean,keep,False
1778,519,1,10,UNKNOWN,True,6.45,,original_clean,keep,False
